,Mean,Max,Min,Range,Range_1,Sum,RMS,Std. Dev. ,Variance,Kurtosis,Skewness,Crest Factor,Form Factor
3917,0.603073163,3.182853687,7.76E-18,3.182853687,5.662301793,-396.6696693,0.755930704,0.45578339,0.207738498,2.990026776,0.037473439,4.210509863,1.253464341
3918,0.817354138,2.71919967,0.000158538,2.719041131,4.781722967,342.1140843,0.996636556,0.57033338,0.325280169,2.629278538,0.013360283,2.72837641,1.219344847
3919,0.657965041,3.093375963,1.23E-18,3.093375963,5.816410131,-565.8380038,0.820885896,0.49085677,0.240940365,2.897482528,0.029946064,3.768338545,1.247613239
3920,0.618898312,3.093375963,1.23E-18,3.093375963,5.415732501,58.50696873,0.782042759,0.47808439,0.228564685,3.03174455,0.002011,3.955507454,1.263604608
3921,0.69703177,2.812707017,1.54E-05,2.812691603,5.535741186,-624.3449726,0.857972279,0.50027284,0.250272919,2.766996265,0.058844056,3.278319226,1.230894079
3922,0.587174088,3.093375963,1.23E-18,3.093375963,5.415732501,143.5357021,0.736224144,0.44413746,0.197258085,3.048281709,-0.003873104,4.201676876,1.253843041
3923,0.823143932,2.812707017,1.54E-05,2.812691603,5.535741186,-709.3737059,0.990682358,0.55127615,0.303905388,2.398687356,0.108283165,2.839161305,1.203534789
3924,0.607496705,3.093375963,1.23E-18,3.093375963,5.57820879,-389.5138909,0.759221905,0.45537975,0.207370717,2.935307417,0.03455713,4.074402942,1.24975477
3925,0.859838385,2.812707017,0.000197703,2.812509314,5.535741186,-176.3241129,1.031308231,0.56947896,0.324306289,2.367115017,0.028581902,2.72731947,1.199421018
3926,0.630819146,3.093375963,1.23E-18,3.093375963,5.816410131,-49.24916166,0.78906854,0.47402662,0.224701241,2.979372916,0.05112704,3.920288045,1.250863332
3927,0.902278094,2.812707017,0.000200883,2.812506134,4.931989605,-516.5888422,1.065304698,0.56641946,0.320831002,2.148191433,0.063384419,2.640284064,1.180683322
0,0.062134359,0.195740235,2.98E-19,0.195740235,0.387054002,-0.127676208,0.073563218,0.03938145,0.001550899,2.173905124,-0.075254513,2.660843836,1.183937822
1,0.062093072,0.191313766,2.98E-19,0.191313766,0.373475666,-0.947774329,0.073590325,0.03949743,0.001560047,2.171384577,-0.086677124,2.599713562,1.185161616
2,0.062175647,0.195740235,8.13E-07,0.195739422,0.385613838,0.820098121,0.073536101,0.03926585,0.001541807,2.17638671,-0.063808972,2.661825045,1.182715492
3,0.062111595,0.194212221,2.98E-19,0.194212221,0.385525987,2.299359868,0.073584375,0.03945698,0.001556853,2.179029984,-0.079725606,2.639313307,1.184712367
4,0.062187475,0.195740235,1.51E-05,0.195725092,0.367194418,-2.427036077,0.073513827,0.03920588,0.001537101,2.16201305,-0.064811465,2.662631536,1.182132373
5,0.061860344,0.195740235,2.98E-19,0.195740235,0.387054002,0.148202226,0.073305985,0.03933318,0.001547099,2.186561492,-0.071551864,2.670180806,1.185023886
6,0.064600496,0.171454183,1.51E-05,0.17143904,0.336701373,-0.275878434,0.07583906,0.03973219,0.001578647,2.065918239,-0.105133746,2.260763562,1.173970244
7,0.061860344,0.195740235,2.98E-19,0.195740235,0.387054002,0.148202226,0.073305985,0.03933318,0.001547099,2.186561492,-0.071551864,2.670180806,1.185023886
8,0.064600496,0.171454183,1.51E-05,0.17143904,0.336701373,-0.275878434,0.07583906,0.03973219,0.001578647,2.065918239,-0.105133746,2.260763562,1.173970244
